old_path	new_path	size_bytes	md5
numerics/data/suN_1pm_sc_vs_lattice.png	numerics/data/DATA_SUN_1pm_sc_vs_lattice.png	100318	09e1940fa73d5c9cb45f343f135b0e6a
numerics/data/suN_glueball_JPC_benchmark.csv	numerics/data/DATA_SUN_glueball_jpc_benchmark.csv	1617	7399ae11d82d990ff71637bf779b46be
numerics/data/suN_glueball_JPC_core_benchmark_v2.csv	numerics/data/DATA_SUN_glueball_jpc_core_benchmark_v2.csv	2775	dc59959a6373eac53869c95d24f3cd5a
numerics/data/suN_glueball_JPC_full_spectrum_v2.csv	numerics/data/DATA_SUN_glueball_jpc_full_spectrum_v2.csv	25268	dd5794747376e19a1d73197ecc5972f1
numerics/engines/SU3_T1pm_spatial_MC_HARDENED_v2.py	numerics/engines/ENGINE_MC_su3_t1pm_spatial_hardened_v2.py	111060	2e93cf5f09c26a3c075ba7cda145dbdb
numerics/engines/SU3_T1pm_spatial_MC_POLARIZATION_v3.py	numerics/engines/ENGINE_MC_su3_t1pm_spatial_polarization_v3.py	133847	466337c3804fcf7fae6e3664d704b15e
numerics/engines/SU3_T1pm_spatial_MC_nextrun.py	numerics/engines/ENGINE_MC_su3_t1pm_spatial_nextrun.py	72569	38594931d3db49a6c48d8fe8d345a76f
numerics/engines/VERIFY_ALL (1).py	numerics/engines/ENGINE_SUN_verify_all_alt.py	15091	e4d704a09450dd9eedd95467f873974a
numerics/engines/VERIFY_ALL.py	numerics/engines/ENGINE_SUN_verify_all.py	14125	7ac7f8a20468ad31c85f939596474f25
numerics/engines/VERIFY_CENTERED_DOUBLE_INCIDENCE.py	numerics/engines/ENGINE_FLUX_verify_centered_double_incidence.py	4142	31adbdc3c97cd177f8868a018a1d3f8b
numerics/engines/VERIFY_DETERMINANT_TO_INCIDENCE_REDUCTION.py	numerics/engines/ENGINE_FLUX_verify_determinant_incidence_reduction.py	3386	01bb3f309fa8741c9de218773bd77944
numerics/engines/VERIFY_INCIDENCE_SYZYGY.py	numerics/engines/ENGINE_FLUX_verify_incidence_syzygy.py	3086	e3a9b86075f2b24fa8b93181ee857014
numerics/engines/VERIFY_THEOREM_ASSEMBLY.py	numerics/engines/ENGINE_FLUX_verify_theorem_assembly.py	7010	6cabceb48873bb553b4c4c0239cc838a
numerics/engines/_verify_frozen_memfd_tmp.py	numerics/engines/ENGINE_FLUX_verify_frozen_memfd_tmp.py	6117	20298cf14c1e9dbded088b2e2f838d3f
numerics/engines/audit_stranded_flux_zero_backend.py	numerics/engines/ENGINE_FLUX_audit_stranded_zero_backend.py	12438	83e0bf36bfaaa38c5b16c8270c66c268
numerics/engines/generic_pt_core.py	numerics/engines/ENGINE_STRING_generic_pt_core.py	3539	392dc626d7753b277b52f8c76378475e
numerics/engines/generic_sigma_engine.py	numerics/engines/ENGINE_STRING_generic_sigma.py	8483	7bebc603435926cb9ace26cd4ee36493
numerics/engines/hhc_loop_incidence_audit.py	numerics/engines/ENGINE_FLUX_hhc_loop_incidence_audit.py	2006	0c388163f7dae636c7ce13227d92d6c7
numerics/engines/lemma_b_review_checks.py	numerics/engines/ENGINE_Y6_lemma_b_review_checks.py	5805	ae7a857a6d48e6c6c6b5ad9640132eed
numerics/engines/op12_a100_gpu_screen.py	numerics/engines/ENGINE_OP1_op12_a100_gpu_screen.py	17547	34556eb49655bcd2c660a48d798403c8
numerics/engines/pentagonal_o4_minimal_representation_frontier.py	numerics/engines/ENGINE_PENT_pentagonal_o4_minimal_representation_frontier.py	9513	1b71a5f7fec320702ba86b40a799dfb6
numerics/engines/shell6_o2_full_intermediate_v1.py	numerics/engines/ENGINE_SHELL6_o2_full_intermediate_v1.py	32515	c784d16f0ac1af183661d41371265c52
numerics/engines/su3_y5_y6_historical_recovery_r2.py	numerics/engines/ENGINE_Y6_su3_y5_historical_recovery_r2.py	8236	8901ccc3d7c53f0f173d0a1ca0b4f7cf
numerics/engines/suN_closed_surface_band_stage1_certificate.py	numerics/engines/ENGINE_SUN_closed_surface_band_stage1_certificate.py	12926	e68b1b7e43fa9dd9e2153885619bcb62
numerics/notebooks/A100 RUN RESULTS.ipynb	numerics/notebooks/RUN_SU3_a100_results.ipynb	77831	a9252feb7a436d6736110412fa5ba72b
numerics/notebooks/A100_SU3_Combined_T1pm_OP12_FFT (1).ipynb	numerics/notebooks/NB_OP1_a100_su3_combined_t1pm_op12_fft_alt.ipynb	66946	13efdb21f99b7bedfefd78dda93157b3
numerics/notebooks/A100_SU3_Combined_T1pm_OP12_FFT.ipynb	numerics/notebooks/NB_OP1_a100_su3_combined_t1pm_op12_fft.ipynb	50002	3af1f94653732a800b92d5f826004036
