N_label,N_numeric,gauge_group,inv_N2,J,P,C,JPC,level,mass_over_sqrt_sigma,mass_error,value_type,data_stage,ambiguity_flag,continuum_spin_from_cubic_irreps,source_table,source_pdf_page,source_short,source_url
5,5,SU(5),0.04,0,-,+,0-+,ex1,7.38,0.11,estimate,continuum_extrapolated,none,A1-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,2,-,+,2-+,gs,6.187,0.05,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,2,-,+,2-+,ex1,8.02,0.11,estimate,continuum_extrapolated,none,E-+ ex1 + T2-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,1,-,+,1-+,gs,8.29,0.13,estimate,continuum_extrapolated,none,T1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,2,+,-,2+-,gs,8.49,0.15,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,1,+,-,1+-,gs,5.915,0.045,estimate,continuum_extrapolated,none,T1+- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,1,+,-,1+-,ex1,7.62,0.08,estimate,continuum_extrapolated,none,T1+- ex2,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,3,+,-,3+-,gs,7.13,0.07,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,2,-,-,2--,gs,7.97,0.06,estimate,continuum_extrapolated,none,E-- gs + T2-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
5,5,SU(5),0.04,1,-,-,1--,gs,7.62,0.15,estimate,continuum_extrapolated,none,T1-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,0,+,+,0++,gs,3.102,0.032,estimate,continuum_extrapolated,none,A1++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,0,+,+,0++,ex1,6.02,0.057,estimate,continuum_extrapolated,none,A1++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,2,+,+,2++,gs,4.678,0.03,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
6,6,SU(6),0.027777777777777776,2,+,+,2++,ex1,6.54,0.07,estimate,continuum_extrapolated,none,E++ ex1 + T2++ ex1,35,84,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
