u,lowest_energy_O2_normal_form,second_energy_O2_normal_form,gap,lowest_shell4_weight,lowest_shell6_lower_weight,lowest_shell6_middle_weight,lowest_shell6_upper_weight
0.014,2.6806703452323744,3.9840007389916035,1.303330393759229,0.999798946794925,5.1276830177976454e-05,0.00010053592845674763,4.924044644029566e-05
0.015,2.681670557212137,3.982643721945863,1.3009731647337262,0.9997686992500043,5.907632796009625e-05,0.00011566265285159388,5.656176918394911e-05
0.016,2.682670706374886,3.9812581549068966,1.2985874485320106,0.9997362488454742,6.746185113952084e-05,0.00013189145609984146,6.439784728682685e-05
0.017,2.6836707803996522,3.979844040482733,1.2961732600830809,0.9997015768736088,7.644075814974175e-05,0.00014923178029245245,7.275058794874859e-05
0.018000000000000002,2.6846707665219767,3.978401381382007,1.2937306148600305,0.9996646639211573,8.602063651682633e-05,0.00016769342576190954,8.162201656411324e-05
0.019,2.6856706515286217,3.9769301804149215,1.2912595288862998,0.9996254898574917,9.620930815502483e-05,0.00018728655697564117,9.10142773774827e-05
0.02,2.6866704217521016,3.9754304404942307,1.288760018742129,0.9995840338223422,0.00010701483483652839,0.00020802170864123683,0.0001009296341801156
0.021,2.6876700630650334,3.9739021646362995,1.286232101571266,0.9995402742130829,0.00011844552384100553,0.0002299097920285633,0.00011137047104754557
0.022,2.688669560874297,3.972345355962124,1.2836757950878268,0.9994941886715769,0.00013050993379078857,0.0002529621015141099,0.0001223392931183254
0.023,2.6896689001150045,3.9707600176984754,1.281091117583471,0.999445754070555,0.00014321688067776308,0.00027719032135305497,0.0001338387274140557
0.024,2.6906680652442714,3.969146153179017,1.2784780879347455,0.9993949464995262,0.0001565754440882858,0.0003026065326847707,0.00014587152370082842
0.025,2.6916670402347975,3.967503765845494,1.2758367256106964,0.9993417412501971,0.0001705949736326661,0.0003292232207776698,0.00015844055539222736
0.026000000000000002,2.692665808568232,3.9658328592489482,1.2731670506807165,0.9992861128014003,0.00018528509558601177,0.0003570532825195221,0.00017154882049402845
0.027,2.693664353228337,3.964133437050986,1.2704690838226491,0.9992280348035024,0.00020065571974749378,0.00038611003415957935,0.00018519944259075356
0.028,2.694662656693932,3.9624055030250456,1.2677428463311138,0.9991674800622912,0.00021671704652536373,0.0004164072193090719,0.00019939567187423208
0.029,2.695660700931629,3.9606490610577954,1.2649883601261664,0.9991044205223236,0.00023347957425530252,0.00044795901720686435,0.00021414088621433773
0.03,2.696658467388334,3.9588641151504502,1.2622056477621162,0.9990388272497105,0.0002509541067600542,0.000480780051257323,0.00022943859227205813
0.031,2.6976559369835247,3.957050669420238,1.2593947324367134,0.998970670414339,0.00026915176115849954,0.0005148853978476614,0.00024529242665507854
0.032,2.6986530901012924,3.955208728101859,1.2565556380005667,0.9988999192714992,0.00028808397593270033,0.0005502905954522654,0.0002617061571160243
0.033,2.6996499065821475,3.9533382955489937,1.2536883889668462,0.9988265421429127,0.00030776251926180917,0.0005870116540318654,0.00027868368379357043
0.034,2.7006463657145736,3.9514393762358555,1.250793010521282,0.998750506397136,0.0003281994976319861,0.0006250650647355256,0.0002962290404965512
0.035,2.701642446226334,3.9495119747588183,1.2478695285324841,0.9986717784293225,0.00034940736473189815,0.0006644678099138378,0.0003143463960312557
0.036000000000000004,2.702638126275518,3.9475560958380385,1.2449179695625205,0.9985903236403326,0.0003713989306437596,0.0007052373734519456,0.0003330400555720842
0.037,2.703633383441325,3.9455717443191776,1.2419383608778527,0.9985061064151531,0.00039418737134016776,0.0007473917514312654,0.0003523144620756965
0.038,2.704628194714574,3.943558925175142,1.2389307304605683,0.9984190901006342,0.00041778623849751185,0.0007909494631291736,0.0003721741977388384
0.039,2.705622536487941,3.941517643507873,1.2358951070199318,0.9983292369824966,0.0004422094696370865,0.0008359295623661697,0.00039262398549998027
0.04,2.7066163845459053,3.939447904550223,1.2328315200043178,0.9982365082615995,0.0004674713986054392,0.0008823516492103287,0.00041366869058489917
0.041,2.707609714054406,3.9373497136678326,1.2297399996134266,0.9981408640294483,0.0004935867664060858,0.0009302358820492921,0.00043531332209634135
0.042,2.708602499550199,3.935223076361097,1.2266205768108982,0.9980422632429167,0.0005205707323950159,0.0009796029900402516,0.0004575630346478901
0.043000000000000003,2.709594714929908,3.9330679982671803,1.2234732833372721,0.9979406636981558,0.0005484388858530871,0.0010304742859488655,0.00048042313004211223
0.044,2.7105863334387514,3.9308844851620792,1.2202981517233278,0.9978360220036699,0.0005772072579487569,0.001082871679388264,0.0005038990589930951
0.045,2.71157732765896,3.928672542962732,1.2170952153037717,0.9977282935525316,0.0006068923341053316,0.0011368176904698443,0.0005279964228934324
0.046,2.7125676694978424,3.926432177729235,1.2138645082313926,0.997617432493709,0.0006375110667872083,0.0011923354638777466,0.0005527209756256685
