[  467.0s] N=47: beta_assembled = 393706580415273116795406092419141342818920069937731557/290545941470502086818649751980979196700113720936118942596224000 ; corpus = 393706580415273116795406092419141342818920069937731557/290545941470502086818649751980979196700113720936118942596224000 ; equal = True ; pair_normal = 0 (9.3s)
[  476.7s] N=48: beta_assembled = 3592406960572427330600412437650122882952252987408383454181/3072246659296194304434295540747277424618049612266376615832856766509 ; corpus = 3592406960572427330600412437650122882952252987408383454181/3072246659296194304434295540747277424618049612266376615832856766509 ; equal = True ; pair_normal = 0 (9.7s)
[  486.1s] N=49: beta_assembled = 4262727549482686852596454338629509489836983108270444876387149/4211776148197368376974732765823597277164614704080753214852442000000000 ; corpus = 4262727549482686852596454338629509489836983108270444876387149/4211776148197368376974732765823597277164614704080753214852442000000000 ; equal = True ; pair_normal = 0 (9.4s)
[  495.4s] N=50: beta_assembled = 18513281933140192369941042047968596745695995625536227744205576/21071743119837382031291334547307278497388901702855972955919221197618775 ; corpus = 18513281933140192369941042047968596745695995625536227744205576/21071743119837382031291334547307278497388901702855972955919221197618775 ; equal = True ; pair_normal = 0 (9.3s)
[  504.8s] N=51: beta_assembled = 1139855735782968449236842061945916154866556827686404387577/1490351600703520566195944546569195433552175939356771725312171875000 ; corpus = 1139855735782968449236842061945916154866556827686404387577/1490351600703520566195944546569195433552175939356771725312171875000 ; equal = True ; pair_normal = 0 (9.4s)
[  514.5s] N=52: beta_assembled = 8311911219222288455281099812006217044101481073171969381/12450630348481186237392513545640040668351307765923740739168768087 ; corpus = 8311911219222288455281099812006217044101481073171969381/12450630348481186237392513545640040668351307765923740739168768087 ; equal = True ; pair_normal = 0 (9.8s)
[  524.2s] N=53: beta_assembled = 6760403836859006510825103516203213146898418337285928161/11571485007897846344949691276781536575967947204932757131738343000 ; corpus = 6760403836859006510825103516203213146898418337285928161/11571485007897846344949691276781536575967947204932757131738343000 ; equal = True ; pair_normal = 0 (9.7s)
[  534.5s] N=54: beta_assembled = 70483275854851189573815188268363467251758488343581978169003736/137513422903177071464182895074549585059267777746808128096727742808484375 ; corpus = 70483275854851189573815188268363467251758488343581978169003736/137513422903177071464182895074549585059267777746808128096727742808484375 ; equal = True ; pair_normal = 0 (10.3s)
[  544.3s] N=55: beta_assembled = 2114228153517402921821812560268226895186286475327375441388449/4690398663726266727523353162842693068731186604561421015715342367772160 ; corpus = 2114228153517402921821812560268226895186286475327375441388449/4690398663726266727523353162842693068731186604561421015715342367772160 ; equal = True ; pair_normal = 0 (9.8s)
[  553.9s] N=56: beta_assembled = 15668839348371332711642889392248290032739849868512208915428831586/39435523660191369708653411528626374695615146734604940879254690248587953125 ; corpus = 15668839348371332711642889392248290032739849868512208915428831586/39435523660191369708653411528626374695615146734604940879254690248587953125 ; equal = True ; pair_normal = 0 (9.6s)
[  564.3s] N=57: beta_assembled = 94746722848267368195758275686799300207775172152294169419729/269921506187820884304249766416814120216657307564951403246632195961600 ; corpus = 94746722848267368195758275686799300207775172152294169419729/269921506187820884304249766416814120216657307564951403246632195961600 ; equal = True ; pair_normal = 0 (10.4s)
[  574.0s] N=58: beta_assembled = 93955181266149379740348496321302990437135408543137212871768/302329094563985057436039264031743780519188916435661228215952890937425 ; corpus = 93955181266149379740348496321302990437135408543137212871768/302329094563985057436039264031743780519188916435661228215952890937425 ; equal = True ; pair_normal = 0 (9.7s)
[  584.6s] N=59: beta_assembled = 1188716196643261922002397457521366189719502498517672442029434041/4311404431738638754099229416747321772171119031805438973409145890020125000 ; corpus = 1188716196643261922002397457521366189719502498517672442029434041/4311404431738638754099229416747321772171119031805438973409145890020125000 ; equal = True ; pair_normal = 0 (10.6s)
[  594.5s] N=60: beta_assembled = 13127773373616368807629461615533581268689408852091947/53559796355532290056989984163960158876196777768726814308082880 ; corpus = 13127773373616368807629461615533581268689408852091947/53559796355532290056989984163960158876196777768726814308082880 ; equal = True ; pair_normal = 0 (9.9s)
[  604.2s] N=61: beta_assembled = 51660013438043419999361234795942466375951649352308655166327827/236627072373346240286620878273415925674644951608054373244991794921875000 ; corpus = 51660013438043419999361234795942466375951649352308655166327827/236627072373346240286620878273415925674644951608054373244991794921875000 ; equal = True ; pair_normal = 0 (9.8s)
[  614.4s] N=62: beta_assembled = 40958212901963508465228023089022530353472782873609156488458613864/210230294349464685775225048481931801469197318938098199430137161076807812125 ; corpus = 40958212901963508465228023089022530353472782873609156488458613864/210230294349464685775225048481931801469197318938098199430137161076807812125 ; equal = True ; pair_normal = 0 (10.1s)
[  624.2s] N=63: beta_assembled = 194949384543834865738099528687127867930487919341210123307025317/1119255019442053637104212644029470246645359387059275335184415600484352000 ; corpus = 194949384543834865738099528687127867930487919341210123307025317/1119255019442053637104212644029470246645359387059275335184415600484352000 ; equal = True ; pair_normal = 0 (9.8s)
[  633.9s] N=64: beta_assembled = 353504831241444340048865949466501457176563008747690676206247961021/2266151108255479509701575545551762910647529041698975578778597255350585937500 ; corpus = 353504831241444340048865949466501457176563008747690676206247961021/2266151108255479509701575545551762910647529041698975578778597255350585937500 ; equal = True ; pair_normal = 0 (9.7s)
[  643.5s] N=65: beta_assembled = 20793952880063886617750798060371161203645849914055909609839/148584712948981941194252929379037794117169625753053212147961378570240 ; corpus = 20793952880063886617750798060371161203645849914055909609839/148584712948981941194252929379037794117169625753053212147961378570240 ; equal = True ; pair_normal = 0 (9.6s)
[  653.1s] N=66: beta_assembled = 3180170854999347394800528831331297543795512169049560319670745275224/25287798197836243526102065503781429308685568948559526903463921699357963953125 ; corpus = 3180170854999347394800528831331297543795512169049560319670745275224/25287798197836243526102065503781429308685568948559526903463921699357963953125 ; equal = True ; pair_normal = 0 (9.6s)
[  663.0s] N=67: beta_assembled = 2863897203357251109730690919822733463795462617420177232788564739/25301314062200436331808743415095600522407053982520961366328923758225014600 ; corpus = 2863897203357251109730690919822733463795462617420177232788564739/25301314062200436331808743415095600522407053982520961366328923758225014600 ; equal = True ; pair_normal = 0 (9.9s)
[  673.5s] N=68: beta_assembled = 665435755921778324336517786569044104129625113859564709/6521375062290105411236386910619631754393911870513947732933510900 ; corpus = 665435755921778324336517786569044104129625113859564709/6521375062290105411236386910619631754393911870513947732933510900 ; equal = True ; pair_normal = 0 (10.5s)
[  686.0s] N=69: beta_assembled = 309159673705834035863967976657839276295212927653577066994768503959237/3355871961152501448016148070785803962886856964643696675278068157757435122375000 ; corpus = 309159673705834035863967976657839276295212927653577066994768503959237/3355871961152501448016148070785803962886856964643696675278068157757435122375000 ; equal = True ; pair_normal = 0 (12.5s)
[  698.9s] N=70: beta_assembled = 1177204642962363464482848146675375234973945964894014239435716187384/14132697171239225489207360113186517766767516927284852471847762777275253043315 ; corpus = 1177204642962363464482848146675375234973945964894014239435716187384/14132697171239225489207360113186517766767516927284852471847762777275253043315 ; equal = True ; pair_normal = 0 (13.0s)
[   58.9s] N=4: beta_assembled = 3601925923737103752887/70481696720359496343750 ; corpus = 3601925923737103752887/70481696720359496343750 ; equal = True ; pair_normal = None (58.9s)
wrote certificate.json
